,Line #,Name,Description,Designator,Quantity,LCSC,Manufacturer 1,Manufacturer Part Number 1
,2,4.7u,"Capacitor, 4.7 uF, 10%, X7S, 100V, 3225, 1210",C3,1,C913445,Murata,GCM32DC72A475KE02K
,3,100n X7R 100V,"Capacitor, 100nF, 10%, X7R, 100V, 1608, 0603","C4, C6, C8, C16, C17, C21, C22, C23, C24, C25, C26, C27, C30, C34, C35, C37, C38, C39, C40, C41, C42, C43, C44, C47, C48, C49, C50, C52, C53, C54, C55, C63",32,C15725,Samsung Electro-Mechanics,CL10B104KC8NNNC
,4,1u X7R 100V,"Capacitor, 1uF, 10%, X7R, 100V, 2012, 0805","C7, C31, C32, C33, C36, C51, C56, C57, C58, C62, C64, C65, C66",13,C5370002,YAGEO,CC0805KKX7R0BB105
,6,3.3u X5R 25V,"Capacitor, 3.3uF, 20%, X5R, 25V, 1608, 0603","C13, C14, C15",3,C5360803,CCTC,TCC0603X5R335M250CT
,9,15p COG 50V,"Capacitor, 15pF, 5%, C0G, 50V, 1005, 0402","C45, C46",2,C1548,Fenghua Electronics,0402CG150J500NT
,24,SWPA4030S220MT,FIXED IND 22UH 1A 292 MOHM SMD,L1,1,C83472,Sunlord,SWPA4030S220MT
,30,100k 1%,"Resistor, 100k, 1%, 100ppm, 1/16W, 1005, 0402","R1, R3, R14, R15, R16, R17, R21, R27, R28, R29, R75, R81, R85, R87, R88",15,C25741,UNI-ROYAL(Uniroyal Elec),0402WGF1003TCE
,36,330R 1%,"Resistor, 330R, 1%, 100ppm, 1/16W, 1005, 0402","R20, R50, R68",3,C25104,Royal Ohm,0402WGF3300TCE
,37,8m 1%,"Resistor, 8m, 1%, 50ppm, 1W, 3216, 1206",R22,1,C2988654,Milliohm,HOLLR1206-1W-8MR-1%
,34,27R 1%,"Resistor, 27R, 1%, 100ppm, 1/16W, 1005, 0402","R7, R23, R24, R26, R37, R38, R39, R40, R42, R43, R44, R45, R46, R47, R48, R49, R51, R52, R56, R57, R58, R59, R60, R61, R62, R64, R65, R66, R74",29,C138021,Yageo,RC0402FR-0727RL
,32,1k 1%,"Resistor, 1k, 1%, 100ppm, 1/16W, 1005, 0402","R5, R35, R53, R54, R55, R63, R67",7,C11702,Royal Ohm,0402WGF1001TCE
,49,SN74LVC1G17DBVR,SN74LVC1G17 Single Schmitt-Trigger Buffer,U7,1,C7836,Texas Instruments,SN74LVC1G17DBVR
,50,INA228AIDGSR,"INA240 High- and Low-Side, Bidirectional, Zero-Drift, Current-Sense Amplifier with",U8,1,C2887910,Texas Instruments,INA228AIDGSR
,52,W25Q128JVPIQ,3V 128M-BIT SERIAL FLASH MEMORY WITH DUAL/QUAD SPI,U10,1,C190862,Winbond,W25Q128JVPIQ
,35,4.7k 1%,"Resistor, 4.7k, 1%, 100ppm, 1/16W, 1005, 0402","R8, R9, R11, R12, R18, R25, R30, R84, R89, R90",10,C25900,UNI-ROYAL(Uniroyal Elec),0402WGF1003TCE
,44,LM2765,"Switched-Capacitor Voltage Converter, 40mA, input 1.8-5.5V, out =2xVIN, 50kHz, SOT-23, -40°C~+85°C",U2,1,C140270,Texas Instruments,LM2765M6X/NOPB
,47,74LVC1G08SE-7,Single 2-input AND gate,U5,1,C460522,Diodes Inc.,74LVC1G08SE-7
,8,220p X7R 50V,"Capacitor, 220pF, 10%, X7R, 50V, 1005, 0402","C19, C20",2,C296710,Samsung Electro-Mechanics,CL05B221KB5NNNC
,31,33k 1%,"Resistor, 33k, 1%, 100ppm, 1/16W, 1005, 0402","R2, R4, R33, R34, R72, R78, R79, R80, R82",9,C138003,Yageo,RC0402FR-0733KL
,25,ASWPA4035S680MT,FIXED IND 22UH 1A 292 MOHM SMD,L2,1,C340217,Sunlord,ASWPA4035S680MT
,11,BZT52C18SQ,Zener Diode 18V 200mW 5% Surface Mount SOD-323,"D2, D3",2,C2857090,JSMSEMI,BZT52C18SQ
,14,D3V3F4U6S,4-Ch 3.3V Low Cap TVS Array 0.85pF 3.5A 350mW,"D7, D10",2,C1869321,Diodes Inc.,D3V3F4U6S-7
,19,BLM18SN220TH1D,"Ferrite Bead, 120Ohm@100MHz, 25%, DCR 25mOhm, 1608, 0603",FB1,1,C710392,Murata,BLM18SN220TH1D
