Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10n X7R 100V","capc_1005_06_n",9.6000,15.9000,90.0000,top
"C2","10n X7R 100V","capc_1005_06_n",11.5000,3.5000,-90.0000,top
"C3","4.7u","capc_3225_22_n",8.5000,4.0000,180.0000,top
"C4","100n X7R 100V","capc_1608_09_l",11.2000,17.0000,90.0000,top
"C5","10n X7R 100V","capc_1005_06_n",18.0000,15.0000,90.0000,top
"C6","100n X7R 100V","capc_1608_09_l",12.5000,17.0000,90.0000,top
"C7","1u X7R 100V","capc_2012_14_n",14.7000,10.8000,0.0000,top
"C8","100n X7R 100V","capc_1608_09_l",9.2000,12.1000,-90.0000,top
"C9","10u X7R 63V","capc_3225_27_n",26.5000,3.4000,-90.0000,top
"C10","10u X7R 63V","capc_3225_27_n",23.3000,3.4000,-90.0000,top
"C11","10u X7R 63V","capc_3225_27_n",20.0000,3.4000,-90.0000,top
"C12","10u X7R 63V","capc_3225_27_n",16.8000,3.4000,-90.0000,top
"C13","3.3u X5R 25V","capc_1608_09_n",35.9000,23.7000,180.0000,top
"C14","3.3u X5R 25V","capc_1608_09_n",35.5000,18.0000,180.0000,top
"C15","3.3u X5R 25V","capc_1608_09_n",32.7000,21.4000,90.0000,top
"C16","100n X7R 100V","capc_1608_09_l",32.1000,12.8000,90.0000,top
"C17","100n X7R 100V","capc_1608_09_l",18.8000,9.5000,90.0000,top
"C18","2.2u X7R 100V","capc_2012_14_m",34.8000,9.3000,0.0000,top
"C19","220p X7R 50V","capc_1005_06_l",20.4000,10.2000,180.0000,top
"C20","220p X7R 50V","capc_1005_06_l",22.3000,11.5000,0.0000,top
"C21","100n X7R 100V","capc_1608_09_l",32.8000,18.0000,90.0000,top
"C22","100n X7R 100V","capc_1608_09_l",28.2500,7.0000,180.0000,top
"C23","100n X7R 100V","capc_1608_09_l",42.0000,8.0000,0.0000,top
"C24","100n X7R 100V","capc_1608_09_l",38.5000,11.1000,-90.0000,top
"C25","100n X7R 100V","capc_1608_09_l",41.0000,16.9000,-90.0000,top
"C26","100n X7R 100V","capc_1608_09_l",31.8000,46.0000,90.0000,top
"C27","100n X7R 100V","capc_1608_09_l",27.4000,46.5000,180.0000,top
"C28","10u X7R 63V","capc_3225_27_n",49.7000,3.5000,-90.0000,top
"C29","10u X7R 63V","capc_3225_27_n",46.5000,3.5000,-90.0000,top
"C30","100n X7R 100V","capc_1608_09_l",48.2000,15.2000,90.0000,top
"C31","1u X7R 100V","capc_2012_14_n",39.6000,46.6000,0.0000,top
"C32","1u X7R 100V","capc_2012_14_n",39.6000,44.7000,0.0000,top
"C33","1u X7R 100V","capc_2012_14_n",27.0000,42.8000,180.0000,top
"C34","100n X7R 100V","capc_1608_09_l",27.0000,40.0000,180.0000,top
"C35","100n X7R 100V","capc_1608_09_l",39.0000,42.9000,0.0000,top
"C36","1u X7R 100V","capc_2012_14_n",27.0000,44.8000,180.0000,top
"C37","100n X7R 100V","capc_1608_09_l",27.0000,41.2000,180.0000,top
"C38","100n X7R 100V","capc_1608_09_l",29.4000,46.0000,90.0000,top
"C39","100n X7R 100V","capc_1608_09_l",30.6000,46.0000,90.0000,top
"C40","100n X7R 100V","capc_1608_09_l",33.8000,46.0000,90.0000,top
"C41","100n X7R 100V","capc_1608_09_l",39.0000,41.6000,0.0000,top
"C42","100n X7R 100V","capc_1608_09_l",34.0000,34.5000,-90.0000,top
"C43","100n X7R 100V","capc_1608_09_l",30.0000,34.6000,-90.0000,top
"C44","100n X7R 100V","capc_1608_09_l",19.9000,34.1000,0.0000,top
"C45","15p COG 50V","capc_1005_06_n",41.2000,41.5000,0.0000,top
"C46","15p COG 50V","capc_1005_06_n",41.0600,36.4000,180.0000,top
"C47","100n X7R 100V","capc_1608_09_l",35.1000,63.5000,90.0000,top
"C48","100n X7R 100V","capc_1608_09_l",20.0000,51.0000,90.0000,top
"C49","100n X7R 100V","capc_1608_09_l",6.0000,39.9000,0.0000,top
"C50","100n X7R 100V","capc_1608_09_l",10.0000,39.9000,180.0000,top
"C51","1u X7R 100V","capc_2012_14_n",30.7000,50.6000,180.0000,top
"C52","100n X7R 100V","capc_1608_09_l",30.9000,52.3000,180.0000,top
"C53","100n X7R 100V","capc_1608_09_l",14.0000,37.3000,90.0000,top
"C54","100n X7R 100V","capc_1608_09_l",14.0000,24.7000,-90.0000,top
"C55","100n X7R 100V","capc_1608_09_l",46.7000,21.5000,180.0000,top
"C56","1u X7R 100V","capc_2012_14_n",49.9000,33.5000,180.0000,top
"C57","1u X7R 100V","capc_2012_14_n",49.9000,31.5000,180.0000,top
"C58","1u X7R 100V","capc_2012_14_n",49.1000,28.7000,90.0000,top
"C59","10u X7R 63V","capc_3225_27_n",43.4000,32.0000,0.0000,top
"C60","10u X7R 63V","capc_3225_27_n",43.4000,28.7000,0.0000,top
"C61","10u X7R 63V","capc_3225_27_n",45.8000,35.3000,0.0000,top
"C62","1u X7R 100V","capc_2012_14_n",51.9000,24.3000,180.0000,top
"C63","100n X7R 100V","capc_1608_09_l",45.5000,49.4000,90.0000,top
"C64","1u X7R 100V","capc_2012_14_n",52.8000,45.5000,0.0000,top
"C65","1u X7R 100V","capc_2012_14_n",52.8000,43.5000,0.0000,top
"C66","1u X7R 100V","capc_2012_14_n",52.8000,47.5000,0.0000,top
"C67","10u X7R 63V","capc_3225_27_n",52.2000,53.2000,-90.0000,top
"D1","SMAJ48A","do-214ac_440p_430x250x230_n_p",8.8000,7.1000,180.0000,top
"D2","BZT52C18SQ","sod-323_230p_170x125x100_n",19.5000,12.4000,90.0000,top
"D3","BZT52C18SQ","sod-323_230p_170x125x100_n",18.0000,12.4000,90.0000,top
"D4","APTD1608LQBC/D","kingbright_0603_blue",4.5000,20.9000,180.0000,top
"D5","B0520LW-7-F","sod-123_270x155135_n",38.5000,20.7500,90.0000,top
"D6","APTD1608LQBC/D","kingbright_0603_blue",62.5000,22.0000,0.0000,top
"D7","D3V3F4U6S-7","sot363_sc88_65p_200x125x110_n",12.0000,60.4000,0.0000,top
"D8","SMAJ48A","do-214ac_440p_430x250x230_n_p",50.5000,16.0000,90.0000,top
"D9","APTD1608LQBC/D","kingbright_0603_blue",8.0000,31.0000,0.0000,top
"D10","D3V3F4U6S-7","sot363_sc88_65p_200x125x110_n",54.0000,60.3000,0.0000,top
"D11","SK6812-EC20","SK6812-EC20",33.0000,63.5000,0.0000,top
"D12","MBR1H100SFT3G","sod-123fl_305p_260x160x90_n",46.9000,29.3000,90.0000,top
"D13","MBR1H100SFT3G","sod-123fl_305p_260x160x90_n",53.3000,49.7000,0.0000,top
"D14","APTD1608LQBC/D","kingbright_0603_blue",56.2000,45.0000,90.0000,top
"DSP1","HS20HS072RX","generic_display_518x362x2_10mm_standoff",33.0000,33.0000,180.0000,top
"F1","FSMD020-1206-R","ptc_1206_08_n",53.9000,57.5000,0.0000,top
"F2","FSMD020-1206-R","ptc_1206_08_n",55.0000,53.2000,-90.0000,top
"FB1","BLM18SN220TH1D","fer_1608_09_n",10.6000,9.8000,0.0000,top
"FD1","fiducial_generic","fiducial_round_130",7.5000,60.0000,0.0000,top
"FD2","fiducial_generic","fiducial_round_130",47.5000,58.0000,0.0000,top
"FD3","fiducial_generic","fiducial_round_130",3.0000,7.5000,0.0000,top
"J1","DX07S024JJ2R1300","DX07S024JJ2R1300",4.8250,14.0000,-90.0000,top
"J3","24.245.1","fcr7350r",58.0000,12.5000,90.0000,top
"J4","24.245.2","fcr7350b",58.0000,31.5500,90.0000,top
"J5","1935776","phoenix_1935776",61.5000,55.0000,90.0000,top
"J6","1935776","phoenix_1935776",61.5000,45.0000,90.0000,top
"J8","AFC07-S12FCA-00","AFC07-S12FCA-00",33.0000,55.0000,180.0000,top
"JP4","jumper_solder_2pad_no","jumper_solder_2pad_no_40x40_20",27.6000,10.4000,180.0000,bottom
"JP5","jumper_solder_2pad_no","jumper_solder_2pad_no_40x40_20",30.5000,12.6000,-90.0000,bottom
"JP6","jumper_solder_2pad_no","jumper_solder_2pad_no_40x40_20",27.6000,11.4000,180.0000,bottom
"JP7","jumper_solder_2pad_no","jumper_solder_2pad_no_40x40_20",28.5000,12.6000,-90.0000,bottom
"JP8","jumper_solder_2pad_no","jumper_solder_2pad_no_40x40_20",29.5000,12.6000,90.0000,bottom
"JP9","jumper_solder_2pad_no","jumper_solder_2pad_no_40x40_20",31.5000,12.6000,90.0000,bottom
"JP11","jumper_solder_3pad_no","jumper_solder_3pad_no_40x40_20",52.5000,21.8000,0.0000,bottom
"L1","22uH 1A 0.29Ohm","SWPA4030S220MT",44.1000,24.6000,180.0000,top
"L2","68uH 0.55A 0.91Ohm","SWPA4030S220MT",48.5000,51.8000,90.0000,top
"MH1","tooling_hole_200_0","tooling_hole_200_0_np",33.0000,31.0000,90.0000,top
"PZ1","FUET-9018","buzzer_9x9x2.1mm",23.3000,24.7000,180.0000,top
"Q1","AGM612AP","vsonp8_65p_330x330x80_mfg",14.6000,7.8000,180.0000,top
