Altium Designer Pick and Place Locations
C:\Users\interns\Documents\Altium_local\Projects\PD240W\outputs\Assembly\Pick Place for PD240W.csv

========================================================================================================================
File Design Information:

Date:       26/12/25
Time:       15:17
Revision:   3197f5ffffd766c823830302935722364dfb6cf6
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R67","1k 1%","TopLayer","resc_1005_04_m","27.0000","63.5000","90","Resistor, 1k, 1%, 100ppm, 1/16W, 1005, 0402"
"F2","FSMD020-1206-R","TopLayer","ptc_1206_08_n","55.0000","53.2000","270","PTC,  30V, I_ hold 200mA, I_Trip 400mA, Imax 100A, 1206"
"R17","100k 1%","TopLayer","resc_1005_04_m","31.3000","9.7000","0","Resistor, 100k, 1%, 100ppm, 1/16W, 1005, 0402"
"R14","100k 1%","TopLayer","resc_1005_04_m","31.3000","8.4000","0","Resistor, 100k, 1%, 100ppm, 1/16W, 1005, 0402"
"R7","27R 1%","TopLayer","resc_1005_04_m","31.3000","11.0000","180","Resistor, 27R, 1%, 100ppm, 1/16W, 1005, 0402"
"C18","2.2u X7R 100V","TopLayer","capc_2012_14_m","34.8000","9.3000","180","Capacitor, 2.2nF, 10%, X7R, 100V, 2012, 0805"
"C16","100n X7R 100V","TopLayer","capc_1608_09_l","32.1000","12.8000","90","Capacitor, 100nF, 10%, X7R, 100V, 1608, 0603"
"R55","1k 1%","TopLayer","resc_1005_04_m","39.0000","63.5000","90","Resistor, 1k, 1%, 100ppm, 1/16W, 1005, 0402"
"R54","1k 1%","TopLayer","resc_1005_04_m","37.0000","63.5000","90","Resistor, 1k, 1%, 100ppm, 1/16W, 1005, 0402"
"R53","1k 1%","TopLayer","resc_1005_04_m","29.0000","63.5000","90","Resistor, 1k, 1%, 100ppm, 1/16W, 1005, 0402"
"C50","100n X7R 100V","TopLayer","capc_1608_09_l","10.0000","39.9000","0","Capacitor, 100nF, 10%, X7R, 100V, 1608, 0603"
"C49","100n X7R 100V","TopLayer","capc_1608_09_l","6.0000","39.9000","180","Capacitor, 100nF, 10%, X7R, 100V, 1608, 0603"
"F1","FSMD020-1206-R","TopLayer","ptc_1206_08_n","53.9000","57.5000","0","PTC,  30V, I_ hold 200mA, I_Trip 400mA, Imax 100A, 1206"
"TP32","5001","TopLayer","5001","58.0000","23.7500","0","Black PC Test Point, Miniature Phosphor Bronze, Silver Plating 0.040 (1.02mm) Hole Diameter Mounting Type"
"TP31","5001","TopLayer","5001","58.0000","20.5000","0","Black PC Test Point, Miniature Phosphor Bronze, Silver Plating 0.040 (1.02mm) Hole Diameter Mounting Type"
"R68","330R 1%","TopLayer","resc_1005_04_m","30.3000","24.0000","0","Resistor, 330R, 1%, 100ppm, 1/16W, 1005, 0402"
"PZ1","FUET-9018","TopLayer","buzzer_9x9x2.1mm","23.3000","24.7000","180","-30?~+70? 1V~25V 2.1mm 3V 4kHz 5mA 65dB 9mm 9mm Passive (Externally Driven) Piezoelectric SMD, 9x9mm Buzzers ROHS"
"R34","33k 1%","TopLayer","resc_1005_04_n","46.0000","14.6000","270","Resistor, 33k, 1%, 100ppm, 1/16W, 1005, 0402"
"R33","33k 1%","TopLayer","resc_1005_04_n","46.5000","12.9000","0","Resistor, 33k, 1%, 100ppm, 1/16W, 1005, 0402"
"C57","1u X7R 100V","TopLayer","capc_2012_14_n","49.9000","31.5000","0","Capacitor, 1uF, 10%, X7R, 100V, 2012, 0805"
"R84","4.7k 1%","TopLayer","resc_1005_04_m","52.5000","20.4000","0","Resistor, 4.7k, 1%, 100ppm, 1/16W, 1005, 0402"
"R82","33k 1%","TopLayer","resc_1005_04_n","52.5000","21.5000","180","Resistor, 33k, 1%, 100ppm, 1/16W, 1005, 0402"
"R81","100k 1%","TopLayer","resc_1005_04_m","50.8200","26.7000","90","Resistor, 100k, 1%, 100ppm, 1/16W, 1005, 0402"
"R79","33k 1%","TopLayer","resc_1005_04_n","19.9000","30.0000","0","Resistor, 33k, 1%, 100ppm, 1/16W, 1005, 0402"
